Country,Drug,Impact Score
Sao Tome and Principe,3TC,0.5983099704208857
Saudi Arabia,3TC,0.0
Senegal,3TC,0.0
Serbia,3TC,0.0
Seychelles,3TC,8.48475438908313
Sierra Leone,3TC,230.22349108616564
Singapore,3TC,0.0
Sint Maarten (Dutch part),3TC,0.0
Slovakia,3TC,0.0
Slovenia,3TC,0.0
Solomon Islands,3TC,13.460479364885988
Somalia,3TC,245.76110430081096
South Africa,3TC,0.0
South Sudan,3TC,0.0
Spain,3TC,0.0
Sri Lanka,3TC,20.849786995501642
Sudan,3TC,102.12216893607439
Suriname,3TC,0.0
Swaziland,3TC,0.0
Sweden,3TC,0.0
Switzerland,3TC,0.0
Syrian Arab Republic,3TC,0.0
Tajikistan,3TC,85.59264437888069
Tanzania,3TC,0.0
Thailand,3TC,11191.263443880775
The Former Yugoslav Republic of Macedonia,3TC,0.0
Timor-Leste,3TC,4.048059617114699
Togo,3TC,809.5066978512432
Tokelau,3TC,0.0
Tonga,3TC,0.12446619578676105
Trinidad and Tobago,3TC,148.2949440505454
Tunisia,3TC,48.4610807204634
Turkey,3TC,0.0
Turkmenistan,3TC,0.0
Turks and Caicos Islands,3TC,0.0
Tuvalu,3TC,0.0
Uganda,3TC,59920.993283303986
Ukraine,3TC,2939.4485706171513
United Arab Emirates,3TC,27.43915659539329
United Kingdom of Great Britain and Northern Ireland,3TC,0.0
United States,3TC,754.5837707288065
Uruguay,3TC,27.26669515486389
US Virgin Islands,3TC,0.0
Uzbekistan,3TC,142.33719498813682
Vanuatu,3TC,16.675728640395427
Venezuela,3TC,629.3543073742023
Viet Nam,3TC,0.0
Wallis and Futuna Islands,3TC,0.0
West Bank and Gaza Strip,3TC,0.0
Yemen,3TC,7.77494307031043
Zambia,3TC,20236.19922102825
Zimbabwe,3TC,52929.806501071726
Afghanistan,ABC,3.483114137407181
Albania,ABC,0.0
Algeria,ABC,3.7142387496911136
American Samoa,ABC,0.0
Andorra,ABC,0.0007059244420592481
Angola,ABC,0.0
Anguilla,ABC,0.0
Antigua and Barbuda,ABC,0.003297743049975442
Argentina,ABC,122.25680156146848
Armenia,ABC,0.0
Aruba,ABC,0.0
Australia,ABC,0.4196127554060121
Austria,ABC,0.0
Azerbaijan,ABC,0.4094426645812236
Bahamas,ABC,0.0
Bahrain,ABC,0.1517444737007262
Bangladesh,ABC,0.0
Barbados,ABC,0.06814839034800343
Belarus,ABC,1.052728362080622
Belgium,ABC,0.0
Belize,ABC,0.6940941925645193
Benin,ABC,30.52022017986378
Bermuda,ABC,0.0035005957934931644
Bhutan,ABC,0.004138644035132819
Bolivia,ABC,0.0
"Bonaire, Saint Eustatius and Saba",ABC,0.0
Bosnia and Herzegovina,ABC,0.0
Botswana,ABC,99.98276810372283
Brazil,ABC,698.9335160699142
British Virgin Islands,ABC,0.0
Brunei Darussalam,ABC,0.0
Bulgaria,ABC,0.0
Burkina Faso,ABC,0.0
Burundi,ABC,131.4326954119677
Cambodia,ABC,14.901242806985325
Cameroon,ABC,1603.0598104567177
Canada,ABC,0.0
Cape Verde,ABC,0.0
Cayman Islands,ABC,0.0
Central African Republic,ABC,0.0
Chad,ABC,0.0
Chile,ABC,0.4497354048210259
China,ABC,0.0
"China, Hong Kong SAR",ABC,0.0
"China, Macao SAR",ABC,0.0
Colombia,ABC,0.0
Comoros,ABC,0.0
Congo,ABC,1.7025242744088793
Cook Islands,ABC,0.0
Costa Rica,ABC,0.6071193775861429
Cote d'Ivoire,ABC,0.0
Croatia,ABC,0.0
Cuba,ABC,2.409552464926348
Curacao,ABC,0.0
Cyprus,ABC,0.0
Czech Republic,ABC,0.0
Democratic People's Republic of Korea,ABC,0.0
Democratic Republic of the Congo,ABC,0.0
Denmark,ABC,0.0
Djibouti,ABC,3.3282565781622977
Dominica,ABC,0.0
Dominican Republic,ABC,0.0
Ecuador,ABC,1.079368574808053
Egypt,ABC,7.876880301918941
El Salvador,ABC,10.094741338134211
Equatorial Guinea,ABC,0.0
Eritrea,ABC,78.34329118158664
Estonia,ABC,0.0
Ethiopia,ABC,0.0
Fiji,ABC,0.12625004116886523
Finland,ABC,0.0
France,ABC,0.0
French Polynesia,ABC,0.0
Gabon,ABC,4.185336439269986
Gambia,ABC,0.0
Georgia,ABC,0.0
Germany,ABC,0.0
Ghana,ABC,70.61127670725018
Greece,ABC,0.0
Greenland,ABC,0.0
Grenada,ABC,0.0
Guam,ABC,0.0
Guatemala,ABC,0.0
Guinea,ABC,0.0
Guinea-Bissau,ABC,0.6589070375855349
Guyana,ABC,0.0
Haiti,ABC,0.0
Honduras,ABC,47.378446994122285
Hungary,ABC,0.0
Iceland,ABC,0.0
India,ABC,0.0
Indonesia,ABC,27.39506295742503
Iran,ABC,0.0
Iraq,ABC,0.0
Ireland,ABC,0.0
Israel,ABC,0.0
Italy,ABC,0.0
Jamaica,ABC,0.0
Japan,ABC,0.0
Jordan,ABC,0.0
Kazakhstan,ABC,17.92830017382076
Kenya,ABC,10524.808297463764
Kiribati,ABC,0.000829841660257964
Kuwait,ABC,0.0
Kyrgyzstan,ABC,2.8423850816911367
Lao People's Democratic Republic,ABC,0.0
Latvia,ABC,0.0
Lebanon,ABC,0.09304675561372734
Lesotho,ABC,189.06282560076966
Liberia,ABC,4.514435488436035
Libya,ABC,0.0
Lithuania,ABC,0.0
Luxembourg,ABC,0.0
Madagascar,ABC,7.600489432391548
Malawi,ABC,5958.308541504205
Malaysia,ABC,7.629667750341537
Maldives,ABC,0.00025155552610949764
Mali,ABC,52.48142950869282
Malta,ABC,0.0
Marshall Islands,ABC,0.005172777515843495
Mauritania,ABC,0.0
Mauritius,ABC,0.0
Mexico,ABC,167.67032003527416
Micronesia (Federated States of),ABC,0.0
Monaco,ABC,0.0
Mongolia,ABC,0.0
Montenegro,ABC,0.0
Montserrat,ABC,0.0
Morocco,ABC,15.119912630820448
Mozambique,ABC,0.0
Myanmar,ABC,118.41625922012965
Namibia,ABC,632.2347536866222
Nauru,ABC,0.0
Nepal,ABC,8.601728017505073
Netherlands,ABC,0.0
New Caledonia,ABC,0.0
New Zealand,ABC,0.0
Nicaragua,ABC,0.0
Niger,ABC,0.0
Nigeria,ABC,45.09530482392298
Niue,ABC,0.0
Northern Mariana Islands,ABC,0.0
Norway,ABC,0.0
Oman,ABC,0.0
Pakistan,ABC,0.0
Palau,ABC,0.0
Panama,ABC,0.0
Papua New Guinea,ABC,0.0
Paraguay,ABC,0.0
Peru,ABC,0.0
Philippines,ABC,38.71176355575397
Poland,ABC,0.0
Portugal,ABC,0.0
Puerto Rico,ABC,0.10590618287178163
Qatar,ABC,0.0
Republic of Korea,ABC,0.0
Republic of Moldova,ABC,0.0
Romania,ABC,0.0
Russia,ABC,0.0
Rwanda,ABC,402.6075604747876
Saint Kitts and Nevis,ABC,0.0
Saint Lucia,ABC,0.11104012768108745
Saint Vincent and the Grenadines,ABC,0.020735388567699433
Samoa,ABC,0.0028814588995266953
San Marino,ABC,0.0
Sao Tome and Principe,ABC,0.002389297871642617
Saudi Arabia,ABC,0.0
Senegal,ABC,0.0
Serbia,ABC,0.0
Seychelles,ABC,0.03388311511671076
Sierra Leone,ABC,7.360091407752516
Singapore,ABC,0.0
Sint Maarten (Dutch part),ABC,0.0
Slovakia,ABC,0.0
Slovenia,ABC,0.0
Solomon Islands,ABC,0.053706259407430214
Somalia,ABC,18.577646748674052
South Africa,ABC,0.0
South Sudan,ABC,0.0
Spain,ABC,0.0
Sri Lanka,ABC,1.4703481012481228
Sudan,ABC,5.31461813913563
Suriname,ABC,0.0
Swaziland,ABC,0.0
Sweden,ABC,0.0
Switzerland,ABC,0.0
Syrian Arab Republic,ABC,0.0
Tajikistan,ABC,10.751314385157228
Tanzania,ABC,0.0
Thailand,ABC,54.65159636220199
The Former Yugoslav Republic of Macedonia,ABC,0.0
Timor-Leste,ABC,0.016444873059164377
Togo,ABC,47.42562402814884
Tokelau,ABC,0.0
Tonga,ABC,0.0004966103819316991
Trinidad and Tobago,ABC,3.6782946278431723
Tunisia,ABC,0.19622561594309076
Turkey,ABC,0.0
Turkmenistan,ABC,0.0
Turks and Caicos Islands,ABC,0.0
Tuvalu,ABC,0.0
Uganda,ABC,4624.63362628227
Ukraine,ABC,42.008953801910806
United Arab Emirates,ABC,0.1094800877506322
United Kingdom of Great Britain and Northern Ireland,ABC,0.0
United States,ABC,3.010730200375846
Uruguay,ABC,0.4045810821939091
US Virgin Islands,ABC,0.0
Uzbekistan,ABC,1.4716053747188635
Vanuatu,ABC,0.06653485242920068
Venezuela,ABC,2.242786620978796
Viet Nam,ABC,0.0
Wallis and Futuna Islands,ABC,0.0
West Bank and Gaza Strip,ABC,0.0
Yemen,ABC,0.6161821777859663
Zambia,ABC,2806.4428436531184
Zimbabwe,ABC,5400.582304742979
Afghanistan,AZT,15.831562541727992
Albania,AZT,0.0
Algeria,AZT,70.80180194083322
American Samoa,AZT,0.0
Andorra,AZT,0.06580248435073094
Angola,AZT,0.0
Anguilla,AZT,0.0
Antigua and Barbuda,AZT,0.30739789205447005
Argentina,AZT,1502.665106520955
Armenia,AZT,0.0
Aruba,AZT,0.0
Australia,AZT,10.592121525648562
Austria,AZT,0.0
Azerbaijan,AZT,9.97188420664444
Bahamas,AZT,0.0
Bahrain,AZT,14.144804686000493
Bangladesh,AZT,0.0
Barbados,AZT,6.402401313872006
Belarus,AZT,49.841856072243125
Belgium,AZT,0.0
Belize,AZT,6.0376972492098995
Benin,AZT,171.85446252884861
Bermuda,AZT,0.3263067351055617
Bhutan,AZT,0.38054870006932323
Bolivia,AZT,0.0
"Bonaire, Saint Eustatius and Saba",AZT,0.0
Bosnia and Herzegovina,AZT,0.0
Botswana,AZT,947.0652811877633
Brazil,AZT,10268.913287286703
British Virgin Islands,AZT,0.0
Brunei Darussalam,AZT,0.0
Bulgaria,AZT,0.0
Burkina Faso,AZT,0.0
Burundi,AZT,943.381681590598
Cambodia,AZT,1457.1680454525601
Cameroon,AZT,15553.80069886066
Canada,AZT,0.0
Cape Verde,AZT,0.0
Cayman Islands,AZT,0.0
Central African Republic,AZT,0.0
Chad,AZT,0.0
Chile,AZT,44.71988757254269
China,AZT,0.0
"China, Hong Kong SAR",AZT,0.0
"China, Macao SAR",AZT,0.0
Colombia,AZT,0.0
Comoros,AZT,0.0
Congo,AZT,158.59537672826139
Cook Islands,AZT,0.0
Costa Rica,AZT,9.80478426817099
Cote d'Ivoire,AZT,0.0
Croatia,AZT,0.0
Cuba,AZT,38.328842272605335
Curacao,AZT,0.0
Cyprus,AZT,0.0
Czech Republic,AZT,0.0
Democratic People's Republic of Korea,AZT,0.0
Democratic Republic of the Congo,AZT,0.0
Denmark,AZT,0.0
Djibouti,AZT,45.9655155429406
Dominica,AZT,0.0
Dominican Republic,AZT,0.0
Ecuador,AZT,44.61842724345691
Egypt,AZT,41.1422216339715
El Salvador,AZT,192.3145071821259
Equatorial Guinea,AZT,0.0
Eritrea,AZT,500.1387477306157
Estonia,AZT,0.0
Ethiopia,AZT,0.0
Fiji,AZT,11.760212996178423
Finland,AZT,0.0
France,AZT,0.0
French Polynesia,AZT,0.0
Gabon,AZT,84.7253081645166
Gambia,AZT,0.0
Georgia,AZT,0.0
Germany,AZT,0.0
Ghana,AZT,506.36492376191427
Greece,AZT,0.0
Greenland,AZT,0.0
Grenada,AZT,0.0
Guam,AZT,0.0
Guatemala,AZT,0.0
Guinea,AZT,0.0
Guinea-Bissau,AZT,61.37921874333516
Guyana,AZT,0.0
Haiti,AZT,0.0
Honduras,AZT,276.8975054499505
Hungary,AZT,0.0
Iceland,AZT,0.0
India,AZT,0.0
Indonesia,AZT,207.9178826480373
Iran,AZT,0.0
Iraq,AZT,0.0
Ireland,AZT,0.0
Israel,AZT,0.0
Italy,AZT,0.0
Jamaica,AZT,0.0
Japan,AZT,0.0
Jordan,AZT,0.0
Kazakhstan,AZT,122.12439429561626
Kenya,AZT,40823.718243800235
Kiribati,AZT,0.07735338176337889
Kuwait,AZT,0.0
Kyrgyzstan,AZT,59.183410499837535
Lao People's Democratic Republic,AZT,0.0
Latvia,AZT,0.0
Lebanon,AZT,8.677814826518714
Lesotho,AZT,908.2512457175012
Liberia,AZT,61.81815621202959
Libya,AZT,0.0
Lithuania,AZT,0.0
Luxembourg,AZT,0.0
Madagascar,AZT,98.10129301432357
Malawi,AZT,25994.623494892792
Malaysia,AZT,120.35844002210982
Maldives,AZT,0.023130553786115084
Mali,AZT,271.1621402880872
Malta,AZT,0.0
Marshall Islands,AZT,0.48217853251146703
Mauritania,AZT,0.0
Mauritius,AZT,0.0
Mexico,AZT,2031.4542033569903
Micronesia (Federated States of),AZT,0.0
Monaco,AZT,0.0
Mongolia,AZT,0.0
Montenegro,AZT,0.0
Montserrat,AZT,0.0
Morocco,AZT,112.80920478824369
Mozambique,AZT,0.0
Myanmar,AZT,2232.462209576711
Namibia,AZT,3355.426981615367
Nauru,AZT,0.0
Nepal,AZT,70.79327177053904
Netherlands,AZT,0.0
New Caledonia,AZT,0.0
New Zealand,AZT,0.0
Nicaragua,AZT,0.0
Niger,AZT,0.0
Nigeria,AZT,4191.034169555685
Niue,AZT,0.0
Northern Mariana Islands,AZT,0.0
Norway,AZT,0.0
Oman,AZT,0.0
Pakistan,AZT,0.0
Palau,AZT,0.0
Panama,AZT,0.0
Papua New Guinea,AZT,0.0
Paraguay,AZT,0.0
Peru,AZT,0.0
Philippines,AZT,416.0661096734373
Poland,AZT,0.0
Portugal,AZT,0.0
Puerto Rico,AZT,9.872005452505865
Qatar,AZT,0.0
Republic of Korea,AZT,0.0
Republic of Moldova,AZT,0.0
Romania,AZT,0.0
Russia,AZT,0.0
Rwanda,AZT,1989.812853180587
Saint Kitts and Nevis,AZT,0.0
Saint Lucia,AZT,11.245659217499309
Saint Vincent and the Grenadines,AZT,2.099989602357915
Samoa,AZT,0.26859411977615877
San Marino,AZT,0.0
Sao Tome and Principe,AZT,0.22257045127932756
Saudi Arabia,AZT,0.0
Senegal,AZT,0.0
Serbia,AZT,0.0
Seychelles,AZT,3.156316469277687
Sierra Leone,AZT,90.63988167558335
Singapore,AZT,0.0
Sint Maarten (Dutch part),AZT,0.0
Slovakia,AZT,0.0
Slovenia,AZT,0.0
Solomon Islands,AZT,5.006208998635457
Somalia,AZT,104.78600020997885
South Africa,AZT,0.0
South Sudan,AZT,0.0
Spain,AZT,0.0
Sri Lanka,AZT,8.949992723664167
Sudan,AZT,41.92901008324416
Suriname,AZT,0.0
Swaziland,AZT,0.0
Sweden,AZT,0.0
Switzerland,AZT,0.0
Syrian Arab Republic,AZT,0.0
Tajikistan,AZT,42.5849022812717
Tanzania,AZT,0.0
Thailand,AZT,4124.469531094358
The Former Yugoslav Republic of Macedonia,AZT,0.0
Timor-Leste,AZT,1.5121075918454057
Togo,AZT,335.8055731286313
Tokelau,AZT,0.0
Tonga,AZT,0.04629135207465797
Trinidad and Tobago,AZT,57.78804918147822
Tunisia,AZT,18.087962613571218
Turkey,AZT,0.0
Turkmenistan,AZT,0.0
Turks and Caicos Islands,AZT,0.0
Tuvalu,AZT,0.0
Uganda,AZT,26052.85226713689
Ukraine,AZT,1125.1312815441254
United Arab Emirates,AZT,10.205145666741183
United Kingdom of Great Britain and Northern Ireland,AZT,0.0
United States,AZT,280.64409601201623
Uruguay,AZT,10.352222506533316
US Virgin Islands,AZT,0.0
Uzbekistan,AZT,54.04201143550303
Vanuatu,AZT,6.202021526523673
Venezuela,AZT,227.1396346871286
Viet Nam,AZT,0.0
Wallis and Futuna Islands,AZT,0.0
West Bank and Gaza Strip,AZT,0.0
Yemen,AZT,3.3726329716906496
Zambia,AZT,9888.275335433362
Zimbabwe,AZT,24512.041364976983
Afghanistan,ddl,0.1026422271952834
Albania,ddl,0.0
Algeria,ddl,0.0882670370730784
American Samoa,ddl,0.0
Andorra,ddl,0.0
Angola,ddl,0.0
Anguilla,ddl,0.0
Antigua and Barbuda,ddl,0.0
Argentina,ddl,3.1369011725742912
Armenia,ddl,0.0
Aruba,ddl,0.0
Australia,ddl,0.009244046328681128
Austria,ddl,0.0
Azerbaijan,ddl,0.008937845529750117
Bahamas,ddl,0.0
Bahrain,ddl,0.0
Bangladesh,ddl,0.0
Barbados,ddl,0.0
Belarus,ddl,0.014941540526451304
Belgium,ddl,0.0
Belize,ddl,0.018715637208775383
Benin,ddl,0.8747829864629779
Bermuda,ddl,0.0
Bhutan,ddl,0.0
Bolivia,ddl,0.0
"Bonaire, Saint Eustatius and Saba",ddl,0.0
Bosnia and Herzegovina,ddl,0.0
Botswana,ddl,2.6554879250654078
Brazil,ddl,17.602416567409946
British Virgin Islands,ddl,0.0
Brunei Darussalam,ddl,0.0
Bulgaria,ddl,0.0
Burkina Faso,ddl,0.0
Burundi,ddl,3.7270118851680665
Cambodia,ddl,0.0
Cameroon,ddl,44.307641955342746
Canada,ddl,0.0
Cape Verde,ddl,0.0
Cayman Islands,ddl,0.0
Central African Republic,ddl,0.0
Chad,ddl,0.0
Chile,ddl,0.0
China,ddl,0.0
"China, Hong Kong SAR",ddl,0.0
"China, Macao SAR",ddl,0.0
Colombia,ddl,0.0
Comoros,ddl,0.0
Congo,ddl,0.0
Cook Islands,ddl,0.0
Costa Rica,ddl,0.015238392599341405
Cote d'Ivoire,ddl,0.0
Croatia,ddl,0.0
Cuba,ddl,0.05924748555874182
Curacao,ddl,0.0
Cyprus,ddl,0.0
Czech Republic,ddl,0.0
Democratic People's Republic of Korea,ddl,0.0
Democratic Republic of the Congo,ddl,0.0
Denmark,ddl,0.0
Djibouti,ddl,0.08786720272937955
Dominica,ddl,0.0
Dominican Republic,ddl,0.0
Ecuador,ddl,0.017953541196100146
Egypt,ddl,0.22817247050576644
El Salvador,ddl,0.2401410698203281
Equatorial Guinea,ddl,0.0
Eritrea,ddl,2.2339631704039333
Estonia,ddl,0.0
Ethiopia,ddl,0.0
Fiji,ddl,0.0
Finland,ddl,0.0
France,ddl,0.0
French Polynesia,ddl,0.0
Gabon,ddl,0.09975632647038976
Gambia,ddl,0.0
Georgia,ddl,0.0
Germany,ddl,0.0
Ghana,ddl,2.0014668424109554
Greece,ddl,0.0
Greenland,ddl,0.0
Grenada,ddl,0.0
Guam,ddl,0.0
Guatemala,ddl,0.0
Guinea,ddl,0.0
Guinea-Bissau,ddl,0.0
Guyana,ddl,0.0
Haiti,ddl,0.0
Honduras,ddl,1.3254874778747763
Hungary,ddl,0.0
Iceland,ddl,0.0
India,ddl,0.0
Indonesia,ddl,0.7763199485072901
Iran,ddl,0.0
Iraq,ddl,0.0
Ireland,ddl,0.0
Israel,ddl,0.0
Italy,ddl,0.0
Jamaica,ddl,0.0
Japan,ddl,0.0
Jordan,ddl,0.0
Kazakhstan,ddl,0.48877701974073423
Kenya,ddl,301.17371194845384
Kiribati,ddl,0.0
Kuwait,ddl,0.0
Kyrgyzstan,ddl,0.06466557263982978
Lao People's Democratic Republic,ddl,0.0
Latvia,ddl,0.0
Lebanon,ddl,0.0
Lesotho,ddl,5.409722590575165
Liberia,ddl,0.11929146169069771
Libya,ddl,0.0
Lithuania,ddl,0.0
Luxembourg,ddl,0.0
Madagascar,ddl,0.203174716169082
Malawi,ddl,170.90419784458766
Malaysia,ddl,0.18619837461151523
Maldives,ddl,0.0
Mali,ddl,1.5256586861447643
Malta,ddl,0.0
Marshall Islands,ddl,0.0
Mauritania,ddl,0.0
Mauritius,ddl,0.0
Mexico,ddl,4.308073495802167
Micronesia (Federated States of),ddl,0.0
Monaco,ddl,0.0
Mongolia,ddl,0.0
Montenegro,ddl,0.0
Montserrat,ddl,0.0
Morocco,ddl,0.40937437019081513
Mozambique,ddl,0.0
Myanmar,ddl,2.8230911247904573
Namibia,ddl,17.572111045983085
Nauru,ddl,0.0
Nepal,ddl,0.23610709593489257
Netherlands,ddl,0.0
New Caledonia,ddl,0.0
New Zealand,ddl,0.0
Nicaragua,ddl,0.0
Niger,ddl,0.0
Nigeria,ddl,0.0
Niue,ddl,0.0
Northern Mariana Islands,ddl,0.0
Norway,ddl,0.0
Oman,ddl,0.0
Pakistan,ddl,0.0
Palau,ddl,0.0
Panama,ddl,0.0
Papua New Guinea,ddl,0.0
Paraguay,ddl,0.0
Peru,ddl,0.0
Philippines,ddl,1.0615618553012103
Poland,ddl,0.0
Portugal,ddl,0.0
Puerto Rico,ddl,0.0
Qatar,ddl,0.0
Republic of Korea,ddl,0.0
Republic of Moldova,ddl,0.0
Romania,ddl,0.0
Russia,ddl,0.0
Rwanda,ddl,11.389950988991169
Saint Kitts and Nevis,ddl,0.0
Saint Lucia,ddl,0.0
Saint Vincent and the Grenadines,ddl,0.0
Samoa,ddl,0.0
San Marino,ddl,0.0
Sao Tome and Principe,ddl,0.0
Saudi Arabia,ddl,0.0
Senegal,ddl,0.0
Serbia,ddl,0.0
Seychelles,ddl,0.0
Sierra Leone,ddl,0.19761623337091047
Singapore,ddl,0.0
Sint Maarten (Dutch part),ddl,0.0
Slovakia,ddl,0.0
Slovenia,ddl,0.0
Solomon Islands,ddl,0.0
Somalia,ddl,0.5428376855092849
South Africa,ddl,0.0
South Sudan,ddl,0.0
Spain,ddl,0.0
Sri Lanka,ddl,0.04166958095076921
Sudan,ddl,0.1505051870538212
Suriname,ddl,0.0
Swaziland,ddl,0.0
Sweden,ddl,0.0
Switzerland,ddl,0.0
Syrian Arab Republic,ddl,0.0
Tajikistan,ddl,0.3028515823237042
Tanzania,ddl,0.0
Thailand,ddl,0.3517207129929765
The Former Yugoslav Republic of Macedonia,ddl,0.0
Timor-Leste,ddl,0.0
Togo,ddl,1.3405750923330373
Tokelau,ddl,0.0
Tonga,ddl,0.0
Trinidad and Tobago,ddl,0.09050726380303076
Tunisia,ddl,0.0
Turkey,ddl,0.0
Turkmenistan,ddl,0.0
Turks and Caicos Islands,ddl,0.0
Tuvalu,ddl,0.0
Uganda,ddl,130.62012270390943
Ukraine,ddl,0.8885457267743976
United Arab Emirates,ddl,0.0
United Kingdom of Great Britain and Northern Ireland,ddl,0.0
United States,ddl,0.0
Uruguay,ddl,0.008726192985787383
US Virgin Islands,ddl,0.0
Uzbekistan,ddl,0.02605899020919822
Vanuatu,ddl,0.0
Venezuela,ddl,0.0
Viet Nam,ddl,0.0
Wallis and Futuna Islands,ddl,0.0
West Bank and Gaza Strip,ddl,0.0
Yemen,ddl,0.017737992907431135
Zambia,ddl,81.23781156083686
Zimbabwe,ddl,152.77043589336657
Afghanistan,d4T,0.523835752119729
Albania,d4T,0.0
Algeria,d4T,0.45592540352179795
American Samoa,d4T,0.0
Andorra,d4T,0.0
Angola,d4T,0.0
